sentiment,Text Tweets
positive,diluar dari banyaknya kecaman dan kontroversi terhadap qatar sebagai tuan rumah. overall ini jadi salah satu gelaran piala dunia terseru.
positive,"QATARSIS #tak cuma sukses jadi tuan rumah Piala Dunia, Qatar juga berhasil menggenapi sepakbola sebagai “agama baru” yang rahmatan lil umattan. Kini tak ada lagi neraka di lapangan bola.https://t.co/MXnkXNR9xY https://t.co/AVTVIqdqgn"
positive,Pildun Qatar emang penuh dengan kejutan ((Even Qatar sebagai tuan rumah is also kinda...A suprise))
positive,"@LuqmanAwalludin @detikcom Kan ada videonya..Lihat dong perbandingan supporter Qatar..Sebagai tuan rumah juga,..Berkalikali kalah telak dari tamu..Tidak satupun supporter nya marah, anarkis, banting-banting kursi apalagi merusak fasilitas umum..Tidak satupun ada perusakanMereka tenang,..Tertib"
positive,Piala Dunia 2022 bakal jadi Piala Dunia termahal sepanjang sejarah. Dana yang sudah dihabiskan tuan rumah Qatar mencetak rekor sebagai yang termahal. Hal itu juga membuat hadiah uang ikut bertambah!#StartingEleven #PialaDunia #TopListhttps://t.co/x9kfgBPwtn
positive,"Orang kira pildun kali ini ga bakal seseru sebelum-sebelumnya tapi ternyata seru bgt. Apalagi Qatar jd tuan rumah wow megah betul. Banyak kisah-kisah menarik dari pildun kali ini, bisa diambil sebagai pelajaran juga"
positive,"Terpilihnya Qatar sebagai tuan rumah Piala Dunia 2022, membuat banyak orang mengunjungi negara tersebut untuk menyaksikan pertandingan sepak bola secara langsung. Selain menyaksikan pertandingan bola, para wisatawan juga bisa mencoba makanan khas Qatar.https://t.co/RglLIggq8d"
positive,"@anonapostate @MichaelRainhard @dina_sulaeman Qatar sudah jelas menghargai event sepak bola terbesar di dunia justru kaum"" lu yang gak menghargai qatar sebagai tuan rumah."
positive,@abdulrachim88 Nih model2 @nahdlatululama dan donaturnya mungkin kesel melihat indahnya qatar sebagai tuan rumah
positive,"Saya ingin memulai dengan suara lantang menyampaikan selamat “mabruk dan mubarak” kepada negara Qatar sebagai negara Muslim dan Timur Tengah pertama, tidak saja menjadi tuan rumah sebuah perhalatan fenomenal, tapi juga telah membuktikan sebuah kemewahan… https://t.co/3sI0FeePIh"
positive,"Yang bikin seru piala dunia tahun ini tuh selain tim kuda hitam bikin kejutan, Qatar sebagai tuan rumah juga mengubah cara pandang dunia melihat Islam dengan disisipkan pesan² dakwah lewat olahraga dan lewat moment ini"
positive,"@radixwp Qatar menerapkan hukum negara ya wajar , jika qatar ke eropa juga mereka akan maklumi itu aturan merekakan itu tuan rumah nya piala dunia , ya harus patuhi lah :v anda saja kalau ke bali juga banyak melihat sesaje"
positive,@tvOneNews Kemenangan Qatar sebagai tuan Rumah... Tamu yg pecingkraan pulang duluan
positive,"Lanjut 4 Begitu juga dengan Qatar, sebagai tuan rumah dia mempunyai aturan aturan negara kedaulatanyya. Jika pergi ke Barat, sebagai tamu ga mungkin juga kan larang orang pake baju tp ga pake BH Dibalik aja …"
positive,"Sobat MORA!Saat ini, seluruh mata dunia sedang fokus pada Qatar sebagai tuan rumah Piala Dunia 2022. Pada bulan Desember tahun 2006, dunia juga pernah fokus pada Qatar ketika kala itu Qatar menjadi tuan rumah event olahraga terbesar di Asia yaitu Asian Games XV. https://t.co/IGfjCJjZCt"
positive,"@aheryawan Ternyata bukan sekedar sepak bola, Qatar juga menunjukkan sebagai tuan rumah yang ramah dan menghormati tamunya"
positive,"Sejak ditunjuk FIFA menjadi tuan rumah Piala Dunia 2022 pada 2010, Qatar tak hanya menyiapkan infrastruktur, tetapi juga kemajuan sepak bolanya. Indonesia sebagai tuan rumah Piala Dunia U-20 2023 harus belajar. #Olahraga #AdadiKompashttps://t.co/hkkKEmpv5M"
positive,@6undul0h World cup qatar membuka pintu bagi ummat manusia utk mengenal dan mempelajari islam yg sesungguhnya dan mereka melakukan itu dgn hikmah dan mengedepankan sifat keramah tamahan sebagai tuan rumah..... insyaallah dunia lebih islami setelah piala dunia qatar.
positive,Menepis tuduhan buruk tentangQatar sebagai tuan rumah piala dunia 2022#FIFAWorldCupQatar2022
positive,"Belakangan ini ramai pembicaraan tentang Qatar sebagai tuan rumah piala dunia 2022. Menariknya, piala dunia kali ini bernuansa penuh Islami. Nah, kira-kira bagaimana ya sejarah Islam di Qatar?Simak dalam artikel berikut, yuk!https://t.co/4hrjtqHo3I#Qatar2022 #FIFAWorldCup"
positive,@CNNIndonesia Qatar negara paling sukses sebagai tuan rumah PD sepanjang sejarah
positive,"Korsel harusnya mencontoh Qatar sebagai tuan rumah yang baik dan bersih. Qatar nggak pernah nyogok wasit dan sadar diri klw mereka masih di level Asia. Sedangkan Korsel, mereka jadi salah satu tuan rumah PD 2002 yang sangat curang dan nggak tau diri"
positive,"Sebagai tuan rumah FIFA World Cup 2022 atau Piala Dunia, Qatar memiliki keunikan tersendiri hingga mencuri perhatian dunia saat ini. Berikut fakta seputar Qatar menarik untuk diketahui. MCP#iNews #Berita #FIFAWorldCup #PialaDunia2022 #Qatar https://t.co/RXDl1bXfCJ"
positive,@dina_sulaeman Toleransi itu ketika Qatar jadi tuan rumah melarang MIRAS dan LGBT/ONE LOVE yang kalian sebagai tamu harus menghormati.
positive,"Mengucapkan, terima kasih sebesar-besarnya kpd.yth Tim Qatar, atas partisipasinya dalam gelaran turnamen sepakbola antar negara tahun 2022, dan juga atas kontribusinya dan perannya sebagai tuan rumah pada tahun ini."
positive,Betul lauk Qatar ni. Lauk sebijik macam Malaysia main Piala Asia 2007 layak sebagai tuan rumah
positive,Bikin Bangga! Ahli Tata Kota Indonesia Ikut Rancang Masterplan Qatar Sebagai Tuan Rumah Piala Dunia https://t.co/rdXxRiBxWU
positive,"di sisi yang lain, sebagai tuan rumah, rules atau pengondisian yang disyaratkan sama Qatar ke FIFA itu harusnya diakomodasi dengan baik, lagian kan gaada hubungannya soal kampanye lgbtq+ sama bola anjiiiirrrrrrr"
positive,"Dalam persediaan Qatar sebagai tuan rumah FIFA 2022, Qatar telah membina 7 buah stadium baru beserta lain-lain fasiliti sukan. #FIFAWorldCup2022 #pialadunia2022 #pialaduniaqatar2022https://t.co/zDIz5OXyD3"
positive,"Setiap negara memiliki peraturan tersendiri bagi para tamu yang akan datang. Kali ini, Qatar sebagai tuan rumah Piala Dunia 2022 membuat peraturan untuk berpakaian sopan dan tertutup.https://t.co/Oy0I7ojDcq"
positive,Dia mengatakan Qatar berhasil menggelar Piala Dunia secara lancar dan tertib tanpa ada pemberitaan tentang rusuh ataupun perkelahian.Sebelunmnya Qatar sebagai Tuan Rumah Piala Dunia diprotes krn memiliki aturan yg berbeda dengan perhelatan sebelumnya
positive,Qatar sebagai tuan rumah menjadi energi tambahan bagi negara tetangga wilayah Asia - Afrika
positive,Gua setuju. Tolong hargai culture Qatar sebagai tuan rumah. Gak semua open minded dapat diterapkan di berbagai negara. Gak semua negara setuju dengan one love. Hendaknya bersikaplah yg sopan kalo mau bertamu
positive,"Sebagai tuan rumah Piala Dunia 2022, Qatar dan Doha menjadi lebih terkenal. Di Doha, tepatnya di Al Courniche terdapat satu monumen yang unik, yakni The Pearl Monument. Monumen ini berupa sebuah kerang raksasa dengan mutiara di dalamnya. #Headlinehttps://t.co/PcTfnSD6HE"
positive,"Masalah lgbt, qatar dah bener, dia sebagai tuan rumah mengajukan hal tersebut kan berdasar ya. Kalo dari kacamata agama karena jelas salah, dan qatar dengan mayoritas muslim, menjadi bukan budaya mereka, artinya ada norma sosial disitu. Ya, istilahnya menghargai yg punya rumah."
positive,"Yaudah anjir banyak bacot, kalo ga bisa ikutin aturan di suatu negara
yaudah, ribet amat lo. Udah jelas jelas Qatar ditunjuk sebagai tuan
rumah,ya mau gak mau ikutin lah aturan dan budaya disana. Ribet
amat anjrit, acara skala dunia nih yang “ditunggangi” buat cari
pembelaan
"
positive,"@Askrlfess kalo gamau di rasisin, tolong jangan rasis, qatar punya
budayanya sendiri dan agama yang mereka junjung, hargai tuan
rumah kalau mau dihargai sebagai tamu"
positive,"@mannschaft89 @raihanalthff @iIhamzada Point nya simpel aja
bang, menghargai Qatar sebagai tuan rumah. Pengen dihargai tapi
kok gak mau menghargai wkwk"
positive,"@itsmenayaah @nukunaru @Askrlfess Jadi, Qatar kan tuan rumah World Cup 2022 trus ngelarang hal yang berbau LGBT harusnya mereka sebagai TAMU hormat dong sama TUAN RUMAH di mana bumi dipijak di situ langit dijunjung tp mereka ngeyel ngotot kampanye kaum mereka gitu krn ajang pildun kan gede jd sorotan org di dunia"
positive,"@SiaranBolaLive Apa salahnya kita menghargai Qatar sebagai tuan rumah? Mereka menghabiskan begitu banyak uang, tenaga, bahkan waktu yg tidak sedikit untuk event ini. Dimana letak otakmu yg katanya manusia paling punya adab?"
positive,"Terkait atribut LGBTQ di FIFA ini, menurut aku ya seharusnya mematuhi policy Qatar sebagai negara tuan rumah. Konsepnya sederhana si, bukannya melanggar HAM or whatever you name it, tapi lebih ke menghargai tuan rumah. Masa ga paham ya sesederhana itu? Tiap negara beda aturan"
positive,"@nooooookia @aulinatsya @cermateguh @tanyakanrl Apa salahnya qatar teguh pendirian? Validasi kaum pelangi tidak diterima di negara qatar, dan qatar sebagai tuan rumah punya hak akan itu, dan qatar sendiri bilang kalau kalian mau diakuin ya di lingkungan kalian aja tapi ga di negara mereka"
positive,Segala hal soal Qatar sebagai tuan rumah membuat Piala Dunia kali ini lebih mencuri perhatian. 1. Piala Dunia 2022 ini merupakan Piala Dunia paling mahalDiperkirakan Qatar sudah mengeluarkan sekitar 200 miliar USD untuk berbagai keperluan infrastruktur.
positive,"Qatar adalah negara Timur Tengah pertama yang menjadi tuan rumah Piala Dunia sekaligus menjadi negara kedua di Benua Asia yang mendapatkan kehormatan tersebut.Piala Dunia pertama kali mendatangi Asia pada tahun 2002 lalu, dengan Korea-Jepang sebagai tuan rumah bersama."
positive,"Konfederasi Sepak Bola Asia (AFC) menepis kritik yang menyebut Qatar mempersiapkan diri sebagai tuan rumah Piala Dunia 2022 sambil melakukan pelanggaran Hak Asasi Manusia (HAM). Justru sebaliknya, AFC malah memuji Qatar.#HAM #AFC #pialadunia #Lampungposthttps://t.co/KodLm02e8n"
positive,@saef_sumarno @CNNIndonesia Perancis melarang cadar di negaranya sendiri. Timnas Perancis menghormati aturan Qatar sebagai tuan rumah World Cup.
positive,"Gapapa, setidaknya sebagai tuan rumah sudah bikin sejarahSukses Sebagai Tuan Rumah Tak Berimbas ke Timnas Qatar, Kembali Telan Kekalahan Usai Dibekuk Ekuador 0-2 https://t.co/hysqLmEHWC"
positive,61 Jadi pakar bola satu kali lagi:Terima kasih juga buat Qatar sebagai tuan rumah yang sudah meramaikan piala dunia haha. Emang secara permainan dan basic sepak bola dari passing dan control pun masih ada gep dengan negara lain. Gapapa sekarang udah bisa fokus jadi tuan rumah
positive,"Hazard menilai aksi Der Panzer tersebut sarat akan muatan politik. Sebagai pemain sepak bola, tidak seharusnya mereka mencampurkan urusan politik ke lapangan hijau.Hazard lebih memilih menghormati tuan rumah Qatar yang dengan jelas melarang penggunaan atribut LGBTQ."
positive,@CNNIndonesia Respect Bapak Lloris terkait statement dia yg hormati peraturan qatar sebagai tuan rumah
positive,"@wptlzkmoonb @azizaha2z2ih @tanyarlfes fyi: dalam sepakbola gaboleh ada politik sih ye setau gue sih sebagai penikmat bola... dan balik lagi qatar negara islam, so ga ada salahnya mereka melarang karena ""main di tanah mereka(tuan rumah) serta mempunyai aturan dalam negaranya"" wajar kok menurut gue. #cmiiw"
positive,"@CatHoolicisme @gfrx_ @memefess lah suka2 qatar lah, kan dia tuan rumahnya. sebagai tamu ya harusnya ngikutin peraturan tuan rumah."
positive,"AFC Bela Tuan Rumah Piala Dunia 2022 Qatar, Tuding Kritik Sebagai Sikap Munafik https://t.co/WBxcs49H2a"
positive,"@eccejentesiast @Askrlfess Iyaaa, padahal negara2 lain yg membebaskan lgbt pun kaya jepang, kanada, prancis gitu mereka masi respect qatar sebagai tuan rumah dan ga neko2"
positive,61 Jadi pakar bola satu kali lagi:Terima kasih juga buat Qatar sebagai tuan rumah yang sudah meramaikan piala dunia haha. Emang secara permainan dan basic sepak bola dari passing dan control pun masih ada gep dengan negara lain. Gapapa sekarang udah bisa fokus jadi tuan rumah
negatif,"Hazard menilai aksi Der Panzer tersebut sarat akan muatan politik. Sebagai pemain sepak bola, tidak seharusnya mereka mencampurkan urusan politik ke lapangan hijau.Hazard lebih memilih menghormati tuan rumah Qatar yang dengan jelas melarang penggunaan atribut LGBTQ."
negatif,@CNNIndonesia Respect Bapak Lloris terkait statement dia yg hormati peraturan qatar sebagai tuan rumah
negatif,"@wptlzkmoonb @azizaha2z2ih @tanyarlfes fyi: dalam sepakbola gaboleh ada politik sih ye setau gue sih sebagai penikmat bola... dan balik lagi qatar negara islam, so ga ada salahnya mereka melarang karena ""main di tanah mereka(tuan rumah) serta mempunyai at"
negatif,"@CatHoolicisme @gfrx_ @memefess lah suka2 qatar lah, kan dia tuan rumahnya. sebagai tamu ya harusnya ngikutin peraturan tuan rumah."
negatif,"AFC Bela Tuan Rumah Piala Dunia 2022 Qatar, Tuding Kritik Sebagai Sikap Munafik https://t.co/WBxcs49H2a"
negatif,"@eccejentesiast @Askrlfess Iyaaa, padahal negara2 lain yg membebaskan lgbt pun kaya jepang, kanada, prancis gitu mereka masi respect qatar sebagai tuan rumah dan ga neko2"
negatif,"@tanyarlfes Selain itu, Qatar ini sebagai tuan rumah & negara yg mayoritasnya muslim meminta untuk dihormati karena culture di sana yg kontra dengan lgbt serta ada larangan alkohol.The guest must respect the host. Basic manner"
negatif,"Sambil merem juga udah tau qatar bakalan final , ya qatar juaranya .. tp jordan mainnya bagus sih , qatar besok juaranya"
negatif,Agak disayangkan opening untuk ceremonial yg semegah ini di bawakan oleh seorang jongkook. Padahal lebih indah cengkok nya lesti.
negatif,"Lagu gak enak,enakan yok ayo nya via Valen jauh"
negatif,"lagunya bagus kok, tapi kurang pas untuk event piala dunia yang biasanya lagunya meriah & ngebeat"
negatif,Piala Dunia di adakan di Qatar.
negatif,Dalam pemilihan Qatar sebagai tuan rumah yang di suap adalah Platini yang orang Prancis.
negatif,Pemilik PSG adalah Orang Qatar.
negatif,Pemain andalan kedua negara di final adalah pemain PSG (Messi dan Mbappe).
negatif,"Maksa bgt ajg, gedek gw liat kelakuan org2 barat gini, gk bisa bgt respect ke budaya negara org"
negatif,Kalo yg ngomong orang Eropa agak curiga biasanya ada bumbu politiknya ðŸ˜’
negatif,Binatang aja tau yang mana betina dan yang mana jantan masa kita manusia gak tau
negatif,"Jerman nih dengerin yaa, lu dateng buat tanding bukan buat pose tutup mulut"
negatif,walopun kemaren yg digelar piala dunia settingan
negatif,"Tapi kata coach yg ga nge coach, peraturan itu berlebihan. Kocak emang si botak tua ini"
negatif,"Jangan lupa, mereka sukses bayar penonton yang datangðŸ¤£"
negatif,Ini yg ngebantu ngebom yaman itu?
negatif,"Selama ada duid, dan attitude rakyat+pejabat bisa dikontrol, oke juga tuh."
negatif,wajib lah penyakit dan musuh Tuhan disikatðŸ‘
negatif,Duit duit duit duit duit. Itu aja intinya. Mau dibilang kesalahan bodo amat yang penting duit.
negatif,Dia bilang gitu karena dah gabisa ambil untung lagi di Pildun Qatar
negatif,tuan rumah lah pasti juaranya
negatif,"Kaum radikal LGBT ya kayak gitu, seluruh alam semesta ini salah kecuali yang sependapat ama mereka. Nyolok lubang tai yang seharusnya bukan tempatnya bagi mereka benar. Sisanya salah semua ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£"
negatif,"Bodoh nya FIFA naro piala dunia di bulan november. Andai piala dunia tahun ini di pertengahan tahun, pasti seru, abis lebaran nonton piala dunia bareng keluarga. Lagian knp harus di qatar si, kalo cuaca panas mending pindah ke eropa atau amerika latin."
negatif,"yaa, minggat sekalian aja minggat !! Emang banyak tingkah ni jerman, strategi kurang malah sibuk ngurusin ban kapten. Mana gua dukung jerman lagi, emang babi ini jerman"
negatif,CUMA ATURAN KAYA GITU ANJIR EMG BIKIN KAU MATI MUDA?? lebayy dah balik aja sono
negatif,"Bilang aja duitnya kurang bgzd loe kakek2 korup, tanpa loe ngomong kek gitu, emang sebuah kesalahan dan ketololan besar ngadain Piala Dunia Qatar, cuma menang tajir hasil minyak doang lol, lagian ngadain pildun pas akhir tahun aja udah gak bener"
negatif,"Gaperlu nyesal, uang korup u dri pemilihan qatar juga masi banya"
negatif,iya Negara y emg kecil tapi duit y terlalu besar untuk sebuah gelaran Piala Dunia yg megah mewah
negatif,"Qatar negara kecil, apakabar Afrika Selatan? Lawak koruptor"
negatif,"Qatar itu negara segede upil, harusnya tuan rumahnya di jepang, korea, china atau ostrali, biar gak usah begadang nonton bolanya"
negatif,"Biar aja ga usah orang LGBT ini masuk, bajingan LGBT nih, semoga kalian kena azab dari Allah seperti kaum sodom, semoga binasa kalian semua kena penyakit mematikan"
negatif,Bikin stadion aja banyak pekerja yang tewas..gak berkah moga gak sukses qatar jadi tuan rumah
negatif,Tai kucing. Berapa ribu pekerja yang mampus tanpa jaminan kerja yang layak utk pembangunan dan persiapan WC Qatar. Proses pimilihan aja korup. Lu emang tolol min dari dulu. LGBT aja fokus hidup lu wkwkkw
negatif,Penyokong Indonesia membaling beberapa suar ke arah penyokong Malaysia sebaik saja Malaysia menjaringkan gol pertama pada perlawanan kelayakan Piala Dunia 2022/Piala Asia 2023 di Stadium Nasional Bukit Jalil. #BHSukan #PialaDunia2022 / #PialaAsia2023 https://t.co/nMId7Tjn1W
negatif,Bola Canggih di Laga Semifinal dan Final Piala Dunia 2022. #EnamPlus #EMTEKWORLDCUP2022 #Worldcup2022 #PialaDunia2022 #Liputan6WORLDCUP2022 https://t.co/9phmOuyxhY
negatif,Perebutan Tempat Ketiga Piala Dunia 2022 Qatar #worldcup #pialadunia #pialadunia2022 #qatar2022 https://t.co/w8IECkvrw6
negatif,"Qatar menggunakan posisi sebagai tuan rumah Piala Dunia dan kekuatan ekonominya untuk meningkatkan pengaruhnya dalam politik regional dan global, namun perlu diawasi agar tidak berlebihan"
negatif,Amankah Suporter Wanita Saat Nikmat Piala Dunia di Qatar. #EnamPlus #EMTEKWORLDCUP2022 #Worldcup2022 #PialaDunia2022 #Liputan6WORLDCUP2022 https://t.co/o0dUPHkBKx
negatif,Kroasia Bidik Medali Perunggu Piala Dunia 2022. #EnamPlus #EMTEKWORLDCUP2022 #Worldcup2022 #PialaDunia2022 #Liputan6WORLDCUP2022 https://t.co/MUz2qeHEUE
negatif,Bendera Palestina Berkibar di Piala Dunia 2022 Apa Maksudnya. #EnamPlus #EMTEKWORLDCUP2022 #Worldcup2022 #PialaDunia2022 #Liputan6WORLDCUP2022 https://t.co/21oMSfrV3u
negatif,Sobat Sehat ingin tetap sehat walaupun begadang nonton piala dunia? Ikuti tips berikut ini deh! #HelloSehat #PialaDunia2022 https://t.co/7ghIoTqCHn
negatif,"#FIFAWorldCup #Qatar2022 https://t.co/X365reHGVG Qatar telah sukses menggelar turnamen dengan baik, namun FIFA memiliki beberapa kontroversi yang perlu diperhatikan"
negatif,"Piala Dunia 2022 telah mencapai pertandingan final, Qatar dianggap sukses sebagai tuan rumah, tetapi masih ada beberapa kontroversi yang perlu diperhatikan"
negatif,Qatar Tak Cuma Soal Piala Dunia 2022 Wisatawan Bisa Kunjungi Gurun Pasir hingga Naik Unta #Qatar #PialaDunia2022 #FIFAWorldCup #wisatawan #beritaViral https://t.co/s3bn47k0kz
negatif,Final Piala Dunia 2022: Lionel Messi OTW Pecahkan Rekor Paolo Maldini Miliki Menit Bermain Terlama #PialaDunia2022 #FinalWorldCup2022 #Qatar2022 #BeritaTerkini #beritaViral https://t.co/r6DwTKm66z
negatif,Prancis berpotensi mencapai final. Pemilihan Qatar sebagai tuan rumah Piala Dunia tidak terlepas dari kontribusi Prancis. Hubungan ekonomi bilateral antara dua negara juga sangat kuat dan berpotensi meningkatkan kerja sama
negatif,PIALA DUNIA 2022 QATAR KEPUTUSAN PENUH ï¸ CROATIA 2-1 MAGHRIBI ï¸ Josko Gvardiol 7' ï¸ Achraf Dari 9' ï¸ Mislav Orsic 42' #PialaDunia2022 #Qatar2022 #WorldCup2022 #FIFA2022 https://t.co/vNrPiIKmaN
negatif,SELALU menarik melihat deretan angka-angka untuk merangkum suatu peristiwa. Tidak terkecuali pergelaran Piala Dunia Qatar 2022 yang sekarang memasuki babak semifinal. Apa saja angka-angka menarik yang sudah muncul? #PialaDunia2022 #Qatar https://t.co/awuguqPY1Q
negatif,Selamat kepada KroasiaðŸ‡­ðŸ‡· yang berhasil menjadi JUARA 3 Piala Dunia 2022 setelah mengalahkan MarokoðŸ‡²ðŸ‡¦ dengan skor 2-1. Pertandinganya seru bangetttt #itsmoji #PialaDunianyaMoji #NontonWorldCupdiMoji #pialadunia2022 #SCMWorldCup2022 https://t.co/gNnOwjsdTf
negatif,Gol dari J. Gvardiol dan M. Orsic membawa Kroasia meraih juara ketiga Piala Dunia 2022. Selamat buat sahabat pendukung Kroasia #pialadunia #pialadunia2022 #worldcup2022 #qatar2022 #fifaworldcup2022 #worldcupqatar2022 #kroasia #maroko #gvardiol #orsic #dari https://t.co/jVYPvKWcLl
negatif,Piala Dunia 2022 telah memasuki babak akhir. Malam ini bakal ada perebutan juara tiga antara Kroasia dan Maroko. Sementara besok malam Prancis akan berhadapan dengan Argentina memperebutkan juara Piala Dunia tahun ini. #pialadunia2022 #worldcup2022 #qatar2022 #fifaworldcup2022 https://t.co/MBNYT4I7ke
negatif,Momen keseruan KroasiaðŸ‡­ðŸ‡· berhasil menjadi Juara 3ï¸âƒ£ Piala Dunia 2022 ï¸ #itsmoji #PialaDunianyaMoji #NontonWorldCupdiMoji #pialadunia2022 #SCMWorldCup2022 https://t.co/u4UVabudWN
negatif,FYP nih Kak! (FAKTA YANG PENTING) Btw udah gak sabar nunggu final ya? #wasit #referee #worldcup #pialadunia2022 #qatar #poland #mbappe #messi #maroko #kroasia #football #JKT4811thAnnivConcert https://t.co/C7UNbegnAx
negatif,Prediksi Argentina vs Prancis: Pembuktian Lionel Messi atau Kylian Mbappe? Simak infografis #GTVNews #News #BuletiniNews #PialaDunia2022 #WorldCupQatar #Pildun #Messi #Mbappe #StadionLusail #Qatar #FinalPialaDunia #FinalPildun #Final #ArgentinavsPrancis #Argentina #Prancis https://t.co/5Az9ngycTD
negatif,Tak terasa Piala Dunia 2022 Qatar sudah mencapai Final. Argentina akan berhadapan dengan Prancis di laga 18 Desember 2022 malam nanti. kenali dulu mereka sebelum menentukan siapa yang akan kalian jagokan sebagai juara di INFOGRAFIK #VIVACOID #design #infografis #pialadunia2022 https://t.co/Z8rt8VLiA2
negatif,Sebelum move on ke partai final ini pertandingan tidak terlupakan sepanjang kompetisi versi Mimin. #PialaDunia2022 #WorldCup https://t.co/Iva1MyuhbS
negatif,Kroasia berhasil merebut posisi ketiga Piala Dunia 2022 usai mengalahkan Maroko dengan skor 2-1. #Lapangbolacom #LapangbolaStats #LapangbolaFacts #LapangbolaQuiz #WorldCup #WorldCup2022 #PialaDunia #PialaDunia2022 #PialaDuniaQatar #PialaDuniaQatar2022 #Kroasia #Maroko https://t.co/xR2lPJMtvA
negatif,ð—œð˜'ð˜€ ð—§ð—¶ð—ºð—² Perebutan Juara 3 Piala Dunia 2022 Kroasia vs Maroko Bagaimana prediksi kakak-kakak? #ItsTime #PialaDunia2022 #PartaiNasDem https://t.co/ck07yPJ47F
negatif,Pengamat sepak bola ï¸ Hardimen Koto menceritakan pengalaman tentang keikutsertaan dirinya pada #PialaDunia2022 yang menurutnya paling banyak menghadirkan keterkejutan! https://t.co/uHsnJ5ozlQ
negatif,Perancis atau Maghribi? #PialaDunia2022 https://t.co/xidCZvibYc
negatif,Terima kasih Luka Modric. Komentar performa sang pemain selama Piala Dunia 2022 #EmtekWorldCup2022 #BolacomWorldCup2022 #PialaDunia2022 #PialaDunia https://t.co/GoWaMScFW5
negatif,5 Laga Piala Dunia 2022 yang Bakal Sulit Dilupakan! https://t.co/9YQGheUSen #kroasiavsmaroko #marokovskroasia #pialadunia2022 #argentinavsprancis #prancisvsargentina Susanti The Big 4 Emarang Bupati Lebak Ehsan Mbappe Lionel Messi https://t.co/aHIQdfRbt0
negatif,Inilah beberapa fakta menarik pada pertandingan perebutan tempat ketiga antara Kroasia vs Maroko. Sebuah utas~ #Lapangbolacom #LapangbolaStats #LapangbolaFacts #LapangbolaQuiz #WorldCup #WorldCup2022 #PialaDunia #PialaDunia2022 #Kroasia #Maroko https://t.co/2DVLoixUAf
